asset_type,algorithm,tls_version,data_longevity,traffic_volume,dependencies,risk_score
API,ECDHE,TLS1.3,8,43579,2,40
VPN,ECDHE,TLS1.2,17,40494,8,75
VPN,RSA,TLS1.3,8,49507,7,65
API,ECDSA,TLS1.3,10,70660,2,40
API,ECDSA,TLS1.3,8,84767,10,40
WEB,ECDHE,TLS1.2,12,98664,4,75
WEB,RSA,TLS1.2,9,95532,5,80
API,RSA,TLS1.2,9,6930,3,80
WEB,ECDHE,TLS1.2,16,48665,9,75
API,ECDSA,TLS1.3,14,81690,2,60
VPN,ECDHE,TLS1.2,11,68177,1,75
WEB,RSA,TLS1.3,12,27525,5,85
VPN,ECDHE,TLS1.2,12,54017,1,75
API,ECDSA,TLS1.2,2,71956,2,55
API,ECDHE,TLS1.3,5,57178,7,40
API,ECDHE,TLS1.2,18,83363,4,75
VPN,ECDSA,TLS1.2,19,24555,7,75
API,ECDSA,TLS1.2,16,83828,10,75
VPN,ECDHE,TLS1.3,19,99737,3,60
WEB,RSA,TLS1.2,3,66741,6,80
API,ECDSA,TLS1.2,11,10618,4,75
VPN,ECDSA,TLS1.3,12,73670,8,60
VPN,ECDSA,TLS1.3,9,89833,3,40
VPN,ECDSA,TLS1.2,14,74806,5,75
WEB,ECDSA,TLS1.3,4,42788,2,40
VPN,RSA,TLS1.2,6,20683,4,80
WEB,ECDHE,TLS1.2,17,33410,1,75
API,ECDHE,TLS1.3,18,7590,10,60
WEB,ECDHE,TLS1.3,8,32464,3,40
WEB,ECDSA,TLS1.2,14,88841,3,75
VPN,RSA,TLS1.3,18,78572,3,85
API,ECDHE,TLS1.3,4,69465,1,40
WEB,ECDHE,TLS1.3,13,5246,9,60
WEB,ECDSA,TLS1.3,18,27857,3,60
API,ECDHE,TLS1.3,12,57622,4,60
API,ECDSA,TLS1.3,10,95217,8,40
WEB,ECDHE,TLS1.3,20,2697,7,60
VPN,ECDSA,TLS1.3,12,80479,5,60
API,RSA,TLS1.2,3,44249,2,80
WEB,ECDHE,TLS1.3,13,46643,8,60
VPN,ECDHE,TLS1.3,4,54979,3,40
API,RSA,TLS1.3,12,6997,3,85
WEB,ECDHE,TLS1.3,19,33340,2,60
WEB,RSA,TLS1.2,9,67792,5,80
WEB,ECDSA,TLS1.3,6,39435,7,40
WEB,RSA,TLS1.2,11,34818,3,100
VPN,RSA,TLS1.3,7,53172,6,65
VPN,ECDSA,TLS1.3,13,60277,5,60
API,ECDHE,TLS1.2,11,69149,7,75
VPN,RSA,TLS1.2,16,63548,2,100
VPN,RSA,TLS1.2,20,49191,2,100
API,ECDHE,TLS1.2,4,73999,10,55
API,RSA,TLS1.2,10,35028,2,80
WEB,ECDSA,TLS1.2,3,54129,6,55
VPN,ECDHE,TLS1.2,1,81976,1,55
API,RSA,TLS1.3,6,56061,5,65
WEB,ECDHE,TLS1.3,15,93715,10,60
WEB,RSA,TLS1.2,18,6469,1,100
API,RSA,TLS1.3,7,44411,10,65
API,ECDHE,TLS1.2,12,73189,4,75
WEB,ECDSA,TLS1.3,16,46694,5,60
VPN,ECDHE,TLS1.2,6,5862,3,55
VPN,ECDHE,TLS1.3,20,86631,6,60
VPN,ECDSA,TLS1.3,9,16883,10,40
WEB,ECDSA,TLS1.3,1,38407,4,40
API,RSA,TLS1.3,17,71978,2,85
API,ECDSA,TLS1.2,4,55763,3,55
WEB,ECDSA,TLS1.2,13,94626,4,75
VPN,ECDHE,TLS1.3,18,67972,8,60
WEB,ECDHE,TLS1.2,10,22278,2,55
VPN,ECDHE,TLS1.2,7,68933,5,55
API,RSA,TLS1.2,19,87180,4,100
VPN,ECDHE,TLS1.2,8,28626,3,55
API,ECDHE,TLS1.3,6,48708,7,40
API,RSA,TLS1.3,16,46011,4,85
API,ECDSA,TLS1.3,10,97906,3,40
WEB,ECDSA,TLS1.3,17,6774,8,60
VPN,ECDSA,TLS1.3,19,47736,9,60
VPN,ECDHE,TLS1.2,15,76391,7,75
VPN,RSA,TLS1.2,19,57014,2,100
API,ECDHE,TLS1.3,14,44566,6,60
VPN,ECDSA,TLS1.3,6,48606,10,40
WEB,ECDHE,TLS1.3,9,92020,8,40
VPN,RSA,TLS1.3,19,57198,4,85
WEB,ECDSA,TLS1.2,5,98682,2,55
VPN,RSA,TLS1.2,9,47671,3,80
VPN,ECDHE,TLS1.3,20,52358,2,60
WEB,ECDSA,TLS1.3,10,45070,8,40
WEB,ECDSA,TLS1.2,8,56663,3,55
API,ECDHE,TLS1.2,2,75373,3,55
VPN,ECDSA,TLS1.2,8,66231,6,55
API,ECDSA,TLS1.2,13,43617,3,75
VPN,ECDSA,TLS1.2,13,74137,2,75
VPN,ECDHE,TLS1.3,12,30138,2,60
WEB,RSA,TLS1.3,11,67977,7,85
WEB,ECDSA,TLS1.3,12,79035,5,60
WEB,RSA,TLS1.2,13,56202,6,100
VPN,ECDHE,TLS1.2,4,81187,2,55
API,ECDHE,TLS1.3,19,29518,10,60
WEB,RSA,TLS1.2,4,53993,1,80
API,RSA,TLS1.3,2,37308,6,65
WEB,ECDHE,TLS1.2,14,86662,9,75
API,ECDSA,TLS1.3,19,93266,4,60
VPN,RSA,TLS1.2,16,45846,6,100
VPN,ECDSA,TLS1.2,10,1425,2,55
WEB,RSA,TLS1.3,11,14456,2,85
WEB,RSA,TLS1.3,1,74579,1,65
WEB,ECDHE,TLS1.3,19,56345,5,60
API,ECDSA,TLS1.2,13,72303,8,75
API,ECDHE,TLS1.2,8,10895,9,55
VPN,ECDHE,TLS1.3,17,25008,9,60
API,ECDSA,TLS1.3,18,40132,8,60
WEB,ECDSA,TLS1.2,12,76863,1,75
API,RSA,TLS1.2,7,43786,3,80
API,ECDSA,TLS1.3,2,82047,2,40
VPN,ECDSA,TLS1.2,20,74310,2,75
VPN,RSA,TLS1.3,4,96722,7,65
API,ECDHE,TLS1.3,5,74751,10,40
API,RSA,TLS1.2,6,86738,5,80
WEB,RSA,TLS1.3,5,16446,5,65
API,ECDSA,TLS1.2,5,83866,6,55
WEB,ECDHE,TLS1.2,1,17861,9,55
WEB,ECDSA,TLS1.2,11,92807,7,75
API,ECDHE,TLS1.2,2,47085,2,55
WEB,RSA,TLS1.3,9,40523,1,65
API,RSA,TLS1.2,7,91090,3,80
API,ECDHE,TLS1.3,2,37325,5,40
WEB,ECDSA,TLS1.3,12,69463,4,60
WEB,ECDHE,TLS1.3,15,12718,9,60
API,ECDHE,TLS1.2,10,39599,1,55
WEB,ECDHE,TLS1.3,7,23789,8,40
VPN,RSA,TLS1.2,20,52884,8,100
API,ECDHE,TLS1.3,8,76683,7,40
API,RSA,TLS1.2,19,23380,10,100
VPN,RSA,TLS1.2,20,85278,9,100
WEB,ECDSA,TLS1.3,13,65090,3,60
API,ECDSA,TLS1.3,10,73440,8,40
API,ECDHE,TLS1.3,16,21285,5,60
VPN,ECDSA,TLS1.2,15,70664,1,75
VPN,ECDHE,TLS1.3,3,88275,5,40
API,ECDSA,TLS1.2,4,89205,1,55
WEB,RSA,TLS1.2,6,72519,5,80
API,RSA,TLS1.2,3,75230,3,80
VPN,ECDHE,TLS1.3,10,47126,8,40
API,RSA,TLS1.3,18,30783,3,85
API,RSA,TLS1.3,2,21112,8,65
API,RSA,TLS1.3,1,56192,4,65
API,ECDSA,TLS1.3,9,35362,10,40
VPN,RSA,TLS1.3,2,70129,9,65
VPN,RSA,TLS1.2,7,76594,4,80
WEB,ECDSA,TLS1.2,6,8689,6,55
WEB,ECDHE,TLS1.2,13,36877,3,75
API,ECDSA,TLS1.3,2,47298,9,40
VPN,RSA,TLS1.3,12,5547,8,85
VPN,ECDSA,TLS1.2,6,31229,9,55
VPN,ECDHE,TLS1.2,3,68851,1,55
API,ECDSA,TLS1.2,8,23305,5,55
VPN,ECDSA,TLS1.2,2,49975,9,55
API,RSA,TLS1.2,8,86181,4,80
WEB,RSA,TLS1.3,17,30264,5,85
API,ECDSA,TLS1.3,5,96244,4,40
WEB,ECDSA,TLS1.3,7,79549,2,40
VPN,ECDHE,TLS1.2,10,98429,7,55
API,RSA,TLS1.3,9,17635,2,65
WEB,ECDSA,TLS1.3,16,95697,10,60
API,RSA,TLS1.3,13,15529,8,85
WEB,ECDSA,TLS1.3,11,47430,7,60
VPN,ECDHE,TLS1.3,7,35114,6,40
WEB,ECDHE,TLS1.2,1,27135,6,55
API,ECDSA,TLS1.2,8,27481,6,55
WEB,ECDHE,TLS1.2,14,32589,7,75
WEB,ECDHE,TLS1.3,9,45712,1,40
API,RSA,TLS1.2,3,98644,4,80
API,ECDSA,TLS1.2,6,53342,10,55
WEB,ECDSA,TLS1.3,7,29536,5,40
VPN,RSA,TLS1.3,11,36654,10,85
API,RSA,TLS1.3,9,65858,9,65
VPN,ECDHE,TLS1.3,15,15161,5,60
API,ECDHE,TLS1.2,10,26612,3,55
WEB,ECDSA,TLS1.2,18,63019,6,75
WEB,ECDSA,TLS1.2,10,20806,3,55
VPN,RSA,TLS1.2,8,8205,5,80
WEB,ECDHE,TLS1.2,20,24584,1,75
WEB,ECDSA,TLS1.3,9,8203,5,40
VPN,ECDHE,TLS1.3,18,43890,4,60
WEB,RSA,TLS1.3,15,66199,7,85
